title,label,link
Andi Gani: Yang Teriak MBG Tak Bermanfaat Depan Prabowo Buruh Lajang - CNN Indonesia,netral,https://www.cnnindonesia.com/nasional/20260504203904-20-1355054/andi-gani-yang-teriak-mbg-tak-bermanfaat-depan-prabowo-buruh-lajang
"Konsolidasi Bersama Badan Gizi Nasional dan Gubernur Jambi, Perkukuh Komitmen Dukung Program MBG - Polri",positif,https://mediahub.polri.go.id/in/image/detail/455550-konsolidasi-bersama-badan-gizi-nasional-dan-gubernur-jambi-perkukuh-komitmen-dukung-program-mbg
Mengapa Dapur MBG Bisa Beroperasi Tanpa Memenuhi SOP - Tempo.co,negatif,https://www.tempo.co/politik/limbah-dapur-mbg-sppg-2133643
"Cerita Sony Sonjaya, Program Makan Bergizi Gratis Dibangun Tanpa Kontrak, Modal Kepercayaan - JPNN.com",positif,https://jabar.jpnn.com/jabar-terkini/30913/cerita-sony-sonjaya-program-makan-bergizi-gratis-dibangun-tanpa-kontrak-modal-kepercayaan
Sejarah Makan Bergizi Gratis dan Awal Pendirian BGN: Berawal dari Tim Kecil Jadi Program Nasional - Tribuncirebon.com,positif,https://cirebon.tribunnews.com/news/182124/sejarah-makan-bergizi-gratis-dan-awal-pendirian-bgn-berawal-dari-tim-kecil-jadi-program-nasional
Sony Sanjaya Memaparkan Sejarah Makan Bergizi Gratis dan Pendirian Badan Gizi Nasional - Media Indonesia,positif,https://mediaindonesia.com/jabar/berita/886539/sony-sanjaya-memaparkan-sejarah-makan-bergizi-gratis-dan-pendirian-badan-gizi-nasional
"Viral Siswa SMP di Deli Serdang Buang MBG ke Jalan, Diduga Basi dan Tak Layak Makan - Liputan6.com",negatif,https://www.liputan6.com/regional/read/6327490/viral-siswa-smp-di-deli-serdang-buang-mbg-ke-jalan-diduga-basi-dan-tak-layak-makan
"Viral Buruh Teriak Tidak Soal Makan Bergizi Gratis, Ini Penjelasan Lengkap KSPSI - Suara.com",netral,https://www.suara.com/news/2026/05/04/193108/viral-buruh-teriak-tidak-soal-makan-bergizi-gratis-ini-penjelasan-lengkap-kspsi
"Tembus Rp291,91 Miliar, Program Makan Bergizi Gratis Bengkulu Sudah Jangkau 330 Ribu Orang - betv.disway.id - BETV Disway",positif,https://betv.disway.id/provinsi-bengkulu/read/72958/tembus-rp29191-miliar-program-makan-bergizi-gratis-bengkulu-sudah-jangkau-330-ribu-orang
"SMSI, JMSI, dan AMSI Lampung bentuk Sekber kawal Program Makan Bergizi Gratis - ANTARA News Lampung",positif,https://lampung.antaranews.com/berita/822509/smsi-jmsi-dan-amsi-lampung-bentuk-sekber-kawal-program-makan-bergizi-gratis
Menuju Sekolah ASRI: Kemendikdasmen Integrasikan Makan Bergizi Gratis dengan Penguatan Karakter - Lombok Post,positif,https://lombokpost.jawapos.com/nasional/2605020045/menuju-school-asri-kemendikdasmen-integrasikan-makan-bergizi-gratis-dengan-penguatan-karakter
"Mahasiswa Sumut Gelar Aksi, Desak Evaluasi Program Makan Bergizi Gratis - AnalisaDaily.com",negatif,https://analisadaily.com/berita/baca/2026/05/04/1073582/mahasiswa-sumut-gelar-aksi-desak-evaluasi-program-makan-bergizi-gratis/
Ateng Sutisna Dorong Integrasi Kader Posyandu ke Program Makan Bergizi Gratis - Fraksi PKS,netral,https://fraksi.pks.id/2026/05/05/ateng-sutisna-dorong-integrasi-kader-posyandu-ke-program-makan-bergizi-gratis/
"Yuliansyah Cek Langsung Makan Bergizi Gratis, Pastikan Kualitas dan Gizi Terjaga - Gerindra",positif,https://gerindra.id/2026/05/04/yuliansyah-cek-langsung-makan-bergizi-gratis-pastikan-kualitas-dan-gizi-terjaga/
KSP Dudung Abdurachman Periksa Insentif Dapur Makan Bergizi Gratis - Babel Insight,negatif,https://www.babelinsight.id/dudung-periksa-insentif-makan-bergizi
Program Makan Bergizi Gratis Dorong Stabilitas Usaha Pedagang Lokal di Katingan - Portal Katingan,positif,https://portal.katingankab.go.id/berita/read/program-makan-bergizi-gratis-dorong-stabilitas-usaha-pedagang-lokal-di-katingan
Wali Kota Robinsar Resmikan 3 Dapur Makan Bergizi Gratis - Berita Cilegon,positif,https://berita.cilegon.go.id/baca/Wali-Kota-Robinsar-Resmikan-3-Dapur-Makan-Bergizi-Gratis/20260504/Mjg5NjUw
Warga Desa Mangun Sari Antusias Ikuti Sosialisasi Program Makan Bergizi Gratis - ZonaPasar.com,positif,https://zonapasar.com/warga-desa-mangun-sari-antusias-ikuti-sosialisasi-program-makan-bergizi-gratis-59951
Sinergi Intelijen Lintas Sektoral Perkuat Pelaksanaan PSN Makan Bergizi Gratis 2026 di Jawa Tengah - Kemenko Polkam R.I.,netral,https://polkam.go.id/sinergi-intelijen-lintas-sektoral-perkuat-pelaksanaan-psn-makan-bergizi-gratis-2026-di-jawa-tengah/
"Penyaluran Makan Bergizi Gratis di Batui Mandek, Ini Penyebabnya - Obor Motindok",negatif,https://www.obormotindok.co.id/penyaluran-makan-bergizi-gratis-di-batui-mandek-ini-penyebabnya/
Dudung Abdurachman Endus Potensi Korupsi Program Makan Bergizi Gratis - AsatuNews.co.id,negatif,https://www.asatunews.co.id/potensi-korupsi-makan-bergizi-gratis
"Polsek Cikijing Laksanakan Patroli SPPG, Pastikan Kelancaran Produksi Makanan Bergizi Gratis - Reformasi Aktual",positif,https://reformasiaktual.com/2026/05/05/polsek-cikijing-laksanakan-patroli-sppg-pastikan-kelancaran-produksi-makanan-bergizi-gratis/
Risiko Kampus Jadi 'Dapur Negara' dalam Program Makan Bergizi Gratis - jatimnow.com,negatif,https://jatimnow.com/baca-84245-risiko-kampus-jadi-dapur-negara-dalam-program-makan-bergizi-gratis
"Yuliansyah Tinjau Dapur Makan Bergizi Gratis di Pontianak, Pastikan Standar Mutu dan Sterilitas Terjaga - fraksi gerindra dpr-ri",positif,https://www.fraksigerindra.id/yuliansyah-tinjau-dapur-makan-bergizi-gratis-di-pontianak-pastikan-standar-mutu-dan-sterilitas-terjaga/
Bupati Gorontalo Ikuti Dialog Nasional Program Makan Bergizi Gratis di Semarang - Pemerintah Kabupaten Gorontalo,netral,https://gorontalokab.go.id/berita/1092/bupati-gorontalo-ikuti-dialog-nasional-program-makan-bergizi-gratis-di-semarang
KSP dan KPK Evaluasi Pencegahan Korupsi Program Makan Bergizi Gratis - Babel Insight,netral,https://www.babelinsight.id/ksp-kpk-evaluasi-korupsi-makan-bergizi
Presiden Jokowi Bakal Monitor Uji Coba Makan Bergizi Gratis di Kota Cilegon - Berita Cilegon,positif,https://berita.cilegon.go.id/baca/Presiden-Jokowi-Bakal-Monitor-Uji-Coba-Makan-Bergizi-Gratis-di-Kota-Cilegon/20260504/MTE1Ng%3D%3D
"Yuliansyah Kunjungi MIN Teladan 1 Pontianak, Pastikan Program Makan Bergizi Gratis Berjalan Tepat Sasaran - fraksi gerindra dpr-ri",positif,https://www.fraksigerindra.id/yuliansyah-kunjungi-min-teladan-1-pontianak-pastikan-program-makan-bergizi-gratis-berjalan-tepat-sasaran/
"Kisah di Balik Makan Bergizi Gratis: Dimulai dari 2 Personel dan Belasan Relawan, Kini Jadi Program Nasional - NewsTasikmalaya",positif,https://newstasikmalaya.com/kisah-di-balik-makan-bergizi-gratis-dimulai-dari-2-personel-dan-belasan-relawan-kini-jadi-program-nasional
BRIN: Limbah Pangan Program MBG Bisa Diolah Jadi Energi dan Pupuk - Niaga.Asia,netral,https://www.niaga.asia/brin-limbah-pangan-program-mbg-bisa-diolah-jadi-energi-dan-pupuk/
BRIN tekankan pengawasan maksimal di sejumlah poin krusial Program MBG - ANTARA News,netral,https://www.antaranews.com/berita/5554385/brin-tekankan-pengawasan-maksimal-di-sejumlah-poin-krusial-program-mbg?utm_source=antaranews&utm_medium=desktop&utm_campaign=editor_picks
"Heri Gunawan Monitoring Dapur MBG Sukabumi, Pastikan Proses Production hingga Distribusi Berjalan Optimal - fraksi gerindra dpr-ri",positif,https://www.fraksigerindra.id/heri-gunawan-monitoring-dapur-mbg-sukabumi-pastikan-proses-produksi-hingga-distribusi-berjalan-optimal/
MBG dan Matinya Logika - Kompas.id,positif,https://www.kompas.id/artikel/mbg-dan-matinya-logika
Kadin Sultra Hadirkan Sufana Sari Kedelai untuk Sukseskan Makan Bergizi Gratis - Pena Faktual,positif,https://penafaktual.com/kadin-sultra-hadirkan-sufana-sari-kedelai-untuk-sukseskan-makan-bergizi-gratis/
KSP Soroti Potensi Ketimpangan Program Makan Bergizi Gratis - AsatuNews.co.id,negatif,https://www.asatunews.co.id/ksp-kpk-cegah-korupsi-mbg
"KSP Dudung Ungkap Banyak Celah Korupsi di Program MBG, Soroti Jual Beli SPPG - InvestorTrust",negatif,https://investortrust.id/national/102301/ksp-dudung-ungkap-banyak-celah-korupsi-di-program-mbg-soroti-jual-beli-sppg
Akademisi Kudus Kritik Pelibatan Kampus di Dapur Makan Bergizi Gratis - Joglo Jateng,negatif,https://joglojateng.com/2026/05/05/akademisi-kudus-kritik-pelibatan-kampus-di-dapur-makan-bergizi-gratis/
KSPSI Bantah Kabar Buruh Tolak Program Makan Bergizi Gratis Prabowo - Babel Insight,netral,https://www.babelinsight.id/kspsi-bantah-buruh-tolak-program-mbg
MBG hingga Kopdes Kerek Pertumbuhan Sektor Peternakan-Konstruksi - Bloomberg Technoz,positif,https://www.bloombergtechnoz.com/detail-news/108023/mbg-hingga-kopdes-kerek-pertumbuhan-sektor-peternakan-konstruksi
"Launching Dapur MBG SPPG Cikitu and Maruyung, Dukung Program Makan Bergizi Gratis di Pacet - Katerciko -",positif,https://katerciko.com/launching-dapur-mbg-sppg-cikitu-dan-maruyung-dukung-program-makan-bergizi-gratis-di-pacet/
Momen Kejujuran di May Day 2026: Logika Komunikasi Kekuasaan - Babel Insight,negatif,https://www.babelinsight.id/prabowo-mayday-makan-bergizi-gratis
Arzeti Bilbina: Program Makan Bergizi Gratis Jadi Motor Penggerak Ekonomi Rakyat - Siaga Indonesia,positif,https://siagaindonesia.id/arzeti-bilbina-program-makan-bergizi-gratis-jadi-motor-penggerak-ekonomi-rakyat
Peternak Rakyat Minta Program Makan Bergizi Gratis Serap Telur - RRI.co.id,negatif,https://rri.co.id/surakarta/regional/2384790/peternak-rakyat-minta-program-makan-bergizi-gratis-serap-telur
Andi Gani Jelaskan Alasan Buruh Lajang Tolak Makan Bergizi Gratis - AsatuNews.co.id,netral,https://www.asatunews.co.id/andi-gani-jelaskan-buruh-lajang-tolak-mbg
APPMBGI Bangun Gudang Pangan dan Cold Storage demi Program Makan Bergizi Gratis - InvestorTrust,positif,https://investortrust.id/business/102005/appmbgi-bangun-gudang-pangan-dan-cold-storage-demi-program-makan-bergizi-gratis
DPR Apresiasi Aplikasi 'SIAP' yang Bisa Pantau MBG secara Real Time - MetroTVNews.com,positif,https://www.metrotvnews.com/play/KYVCeQXQ-dpr-apresiasi-aplikasi-siap-yang-bisa-pantau-mbg-secara-real-time
"Makan Bergizi Gratis (MBG) Bukan Sekadar Pangan, Tapi Strategi Ekonomi Rakyat - balitribune.co.id",positif,https://balitribune.co.id/content/makan-bergizi-gratis-mbg-bukan-sekadar-pangan-tapi-strategi-ekonomi-rakyat
Pakar Hukum: Program Makan Bergizi Gratis Sangat Konstitusional - RRI.co.id,positif,https://rri.co.id/manado/nasional/2385889/pakar-hukum-program-makan-bergizi-gratis-sangat-konstitusional
Sony Sonjaya Ungkap Perjuangan Awal Program Makan Bergizi Gratis - NOA.co.id,positif,https://www.noa.co.id/sony-sonjaya-ungkap-perjuangan-awal-program-makan-bergizi-gratis/
Peran Aktif Babinsa Serda Ronal Manalu dalam Pengawalan Distribusi 2.024 Porsi Makan Bergizi Gratis - SeribuParitNews.com,positif,https://seribuparitnews.com/detail/45367/peran-aktif-babinsa-serda-ronal-manalu-dalam-pengawalan-distribusi-2024-porsi-makan-bergizi-gratis
"BGN Bentuk Tim Khusus, Program Makan Bergizi Gratis Kini Lebih Selektif - Kompas.tv",netral,https://www.kompas.tv/nasional/664147/bgn-bentuk-tim-khusus-program-makan-bergizi-gratis-kini-lebih-selektif?page=all
IPB Siap Bangun SPPG di Bogor Guna Dukung Program Makan Bergizi Gratis - MetroTVNews.com,positif,https://www.metrotvnews.com/play/kpLCQ3mX-ipb-siap-bangun-sppg-di-bogor-guna-dukung-program-makan-bergizi-gratis
Guru Besar Untad Dukung Makan Bergizi Gratis Tingkatkan Kesetaraan - Koran Manado,positif,https://www.koranmanado.co.id/guru-besar-untad-makan-bergizi-gratis
"Sejarah Makan Bergizi Gratis dan Pendirian Badan Gizi Nasional (Oleh Irjen Pol (P) Sony Sonjaya, SIK)* - Kabar Priangan - Kabar Priangan",positif,https://kabarpriangan.pikiran-rakyat.com/nasional/pr-14810185002/sejarah-makan-bergizi-gratis-dan-pendirian-badan-gizi-nasional-oleh-irjen-pol-p-sony-sonjaya-sik?page=all
"Tolak MBG, Solidaritas Mahasiswa: Orang Papua Butuh Pendidikan Gratis - Suara Papua",negatif,https://suarapapua.com/2026/05/05/tolak-mbg-solidaritas-mahasiswa-orang-papua-butuh-pendidikan-gratis/
"Dudung Audiensi dengan KPK, Soroti Potensi Korupsi Program MBG - MetroTVNews.com",negatif,https://www.metrotvnews.com/read/KYVCeQpA-dudung-audiensi-dengan-kpk-soroti-potensi-korupsi-program-mbg
Babinsa Batu Putih Dampingi Program Makan Bergizi Gratis untuk Kelompok 3B - Gentra News,positif,https://gentra.co.id/2026/05/04/babinsa-batu-putih-dampingi-program-makan-bergizi-gratis-untuk-kelompok-3b/
"Tingkatkan Mutu Pendidikan, SPPG Polres Pulang Pisau 2 Sosialisasi Makan Bergizi Gratis - TargetNews.ID",positif,https://targetnews.id/2026/05/04/tingkatkan-mutu-pendidikan-sppg-polres-pulang-pisau-2-sosialisasi-makan-bergizi-gratis/
Mencurigai Program MBG Jadi Ladang Korupsi Baru - INAnews,negatif,https://www.inanews.co.id/2026/05/mencurigai-program-mbg-jadi-ladang-korupsi-baru/
"Kawal Program Makan Bergizi Gratis, Ombudsman Tinjau Langsung Dapur SPPG Laiyolo di Kepulauan Selayar - Ombudsman RI",positif,https://ombudsman.go.id/perwakilan/news/r/pwk--kawal-program-makan-bergizi-gratis-ombudsman-tinjau-langsung-dapur-sppg-laiyolo-di-kepulauan-selayar
Prabowo Minta Dudung Mengecek Dapur MBG Di-suspend tapi Dapat Insentif Rp 6 Juta/Hari - Kompas.com,negatif,https://nasional.kompas.com/read/2026/05/05/12441991/prabowo-minta-dudung-mengecek-dapur-mbg-di-suspend-tapi-dapat-insentif-rp-6
Unhas Jadi Percontohan Program Makan Bergizi Gratis di Kampus - Mediasulsel.com,positif,https://www.mediasulsel.com/unhas-jadi-percontohan-program-makan-bergizi-gratis-di-kampus/
"Polres Gresik Dukung Program Presiden, Kapolres Tinjau SPPG dan MBG di SLB Kemala Bhayangkari 2 - Sabdanews",positif,https://sabdanews.com/polres-gresik-dung-program-presiden-kapolres-tinjau-sppg-dan-mbg-di-slb-kemala-bhayangkari-2/
"Perbaikan Gizi Jadi Gerakan Bersama, Menuju Indonesia Emas 2045 - MetroTVNews.com",positif,https://www.metrotvnews.com/read/K5nCRAz6-perbaikan-gizi-jadi-gerakan-bersama-menuju-indonesia-emas-2045
